nombre,precio,ingredientes,url_producto,imagen_url
Biretix Micropeel Tratamiento Exfoliante Purificante 50ml,"11,79€",Peeling Mecánico: Microgránulos De Semillas De Tagua.,https://www.promofarma.com/es/biretix-micropeel-tratamiento-exfoliante-purificante-50ml/p-424585,https://statics.promofarma.com/static/promofarma/prod/product_images/z/I3A7J9_es_ES_0.jpeg
Rosacure Intensive SPF30 30ml,"20,89€","ACETYL GLUCOSAMINE, AQUA, ARGININE, BHT, BUTANE, CAPRYLOYL GLYCINE, CETEARYL ALCOHOL, CETEARYL ETHYLHEXANOATE, CETEARYL GLUCOSIDE, COCAMIDOPROPYL BETAINE, DECYL GLUCOSIDE, DIMETHICONE, EDTA DISODIUM, GLYCERIN, HELIANTHUS ANNUUS EXTRACT, ISOBUTANE, ISOHEXADECANE, LECITHIN, LONICERA JAPONICA EXTRACT, PETROLATUM, PPG-11 STEARYL ETHER, PROPANE, PROPYLENE GLYCOL, ROSMARINUS OFFICINALIS EXTRACT, SACCHARIDE ISOMERATE, SILYBUM MARIANUM EXTRACT, SODIUM HYALURONATE, STEARETH-2, STEARETH-21, STEARYL GLYCYRRHETINATE, TOCOPHERYL ACETATE, ASCORBYL TETRAISOPALMITATE.",https://www.promofarma.com/es/rosacure-intensive-spf30-30ml/p-20026,https://statics.promofarma.com/static/promofarma/prod/product_images/z/FD6GB_es_ES_0.png
Bioderma Sensibio AR+ Crema 40ml,"20,79€","AQUA/WATER/EAU, GLYCERIN, C15-19 ALKANE, C10-18 TRIGLYCERIDES, DIPROPYLENE GLYCOL, GLYCERYL STEARATE CITRATE, HELIANTHUS ANNUUS (SUNFLOWER) SEED WAX, PENTYLENE GLYCOL, SQUALANE, SUCROSE STEARATE, CORN STARCH MODIFIED, COCOS NUCIFERA (COCONUT) OIL, MALTOOLIGOSYL GLUCOSIDE, GLYCERYL CAPRYLATE/CAPRATE, SCLEROTIUM GUM, GLYCYRRHETINIC ACID, HYDROGENATED STARCH HYDROLYSATE, XANTHAN GUM, 1-METHYLHYDANTOIN-2-IMIDE, PHYTOSPHINGOSINE, SODIUM CITRATE, CITRIC ACID, MANNITOL, XYLITOL, O-CYMEN-5-OL, BENZOTRIAZOLYL DODECYL P-CRESOL, RHAMNOSE, TOCOPHEROL, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL. [BI2087]",https://www.promofarma.com/es/bioderma-sensibio-ar-crema-40ml/p-10403,https://statics.promofarma.com/static/promofarma/prod/product_images/z/AZE2I_es_ES_0.jpg
Rosacure Gentle Cleansing Gel Limpiador 200ml,"15,39€","AQUA, DIMETHYL SULFONE, GLYCERIN, DECYL GLUCOSIDE, PEG-14 DIMETHICONE, GLYCINE SOJA (SOYBEAN) PROTEIN, SODIUM HYALURONATE, POLYGLUTAMIC ACID, HYDROXYETHYLCELLULOSE, CAPRYLYL GLICOL, HEXYLENE GLICOL, DISODIUM EDTA, PHENOXYETHANOL.",https://www.promofarma.com/es/rosacure-gentle-cleansing-gel-limpiador-200ml/p-29615,https://statics.promofarma.com/static/promofarma/prod/product_images/z/ZVGRG_es_ES_0.jpeg
Boderm Acmed Crema Ácido Azelaico 20% 75ml,"22,08€","AQUA, AZELAIC ACID, PROPYLENE GLYCOL, GLYCERYL STEARATE, PEG-5 GLYCERYL STEARATE, CETEARYL ETHYLHEXANOATE/OCTANOATE, PEG-30 GLYCERYL STEARATE, GLYCERIN, CETEARYL ALCOHOL, CETYL PALMITATE, COCOGLYCERIDES, SODIUM BENZOATE.",https://www.promofarma.com/es/boderm-acmed-crema-acido-azelaico-20-75ml/p-385658,https://statics.promofarma.com/static/promofarma/prod/product_images/mr/Y6J7C_es_ES_0.jpg
SVR Sebiaclear Hydra Crema Reparadora Hidratante 40ml,"16,59€","AQUA (PURIFIED WATER), CAPRYLIC/CAPRIC TRIGLYCERIDE, NIACINAMIDE, BUTYROSPERMUM PARKII (SHEA) BUTTER EXTRACT, GLYCERIN, BUTYROSPERMUM PARKII (SHEA) BUTTER, METHYL METHACRYLATE CROSSPOLYMER, CYCLOPENTASILOXANE, CETYL ALCOHOL, GLYCERYL STEARATE, CETYL DIMETHICONE, SACCHARIDE ISOMERATE, ARGANIA SPINOSA KERNEL OIL, DIMETHICONE CROSSPOLYMER-3, GLYCOLIPIDS, GLYCOSPHINGOLIPIDS, SPENT GRAIN WAX, TOCOPHEROL, 1,2-HEXANEDIOL, CAPRYLYL GLYCOL, CETETH-20, CITRIC ACID, PEG-75 STEARATE, PENTYLENE GLYCOL, SODIUM CITRATE, SODIUM POLYACRYLATE STARCH, STEARETH-20, PARFUM (FRAGRANCE).",https://www.promofarma.com/es/svr-sebiaclear-hydra-crema-reparadora-hidratante-40ml/p-124077,https://statics.promofarma.com/static/promofarma/prod/product_images/z/CXKQK_es_ES_0.png
La Roche-Posay Pure Vitamine C12 Sérum 30ml,"36,27€","AQUA /WATER, ASCORBIC ACID, CYCLOHEXAS I LOXANE, GLYCERIN, ALCOHOL DENAT, POTASSIUM HYDROXIDE, POLYMETHYLSILSESQUIOXANE, POLYSILICONE-11, DIMETHICONE, PROPYLENE GLYCOL, PENTAERYTHRITYL TETRAETHYLHEXANOATE, C13-14 ISOPARAFFIN, PEG-20 METHYL GLUCOSE SESQUISTEARATE, SODIUM HYALURONATE, ADENOSINE, POLOXAMER 338, AMMONIUM POLYACRYLOYLDIMETHYL TAURATE DISODIUM EDTA, HYDROLYZED HYALURONIC ACID, CAPRYLYL GLYCOL, LAURETH-7, ACETYL DIPEPTIDE-1 CETYL ESTER, XANTHAN GUM, TOLUENE SULFONICACID, POLYACRYLAMIDE, TOCOPHEROL, SALICYLIC ACID, PARFUM / FRAGRANCE.",https://www.promofarma.com/es/la-roche-posay-pure-vitamine-c12-serum-30ml/p-120211,https://statics.promofarma.com/static/promofarma/prod/product_images/z/1EDJA_es_ES_0.png
La Roche-Posay Toleriane Rosaliac AR Concentrado 40ml,"22,84€","AQUA / WATER / EAU, DROMETRIZOLE TRISILOXANE, ALCOHOL DENAT., ISOPROPYL MYRISTATE, ETHYLHEXYL TRIAZONE, ISONONYL ISONONANOATE, PROPYLENE GLYCOL DICAPRYLATE/DICAPRATE, GLYCERIN, PROPANEDIOL, ISOPROPYL LAUROYL SARCOSINATE, BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, DIISOPROPYL SEBACATE, BUTYL METHOXYDIBENZOYLMETHANE, CETEARYL ALCOHOL, ZEA MAYS STARCH / CORN STARCH, SILICA, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER, CAPRYLYL GLYCOL, CARBOMER, CETEARYL GLUCOSIDE, HYDROXYACETOPHENONE, INULIN LAURYL CARBAMATE, PEG-10 DIMETHICONE, PEG-20, POTASSIUM HYDROXIDE, SODIUM STEAROYL GLUTAMATE, SPHINGOMONAS FERMENT EXTRACT, T-BUTYL ALCOHOL, TOCOPHEROL, TRISODIUM ETHYLENEDIAMINE DISUCCINATE.",https://www.promofarma.com/es/la-roche-posay-toleriane-rosaliac-ar-concentrado-40ml/p-721667,https://statics.promofarma.com/static/promofarma/prod/product_images/z/RJ3LPF1L_es_ES_0.png
CeraVe® Loción Hidratante de Rostro 52ml,"14,89€","AQUA / WATER, NIACINAMIDE, CETYL ALCOHOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, GLYCERIN, PROPANEDIOL, ISONONYL ISONONANOATE, JOJOBA ESTERS, PEG-20 METHYL GLUCOSE SESQUISTEARATE, CETEARYL ALCOHOL, DIMETHICONE, METHYL GLUCOSE SESQUISTEARATE, PHENOXYETHANOL, SORBITOL, BEHENTRIMONIUM METHOSULFATE, CARBOMER, LAURETH-4, TRIETHANOLAMINE, TOCOPHEROL, BUTYLENE GLYCOL, PRUNUS AMYGDALUS DULCIS OIL / SWEET ALMOND OIL, HYDROGENATED VEGETABLE OIL, ETHYLHEXYLGLYCERIN, TETRASODIUM EDTA, SODIUM LAUROYL LACTYLATE, SODIUM HYDROXIDE, ZINC CITRATE, ASPARAGOPSIS ARMATA EXTRACT, EQUISETUM ARVENSE EXTRACT, MALTODEXTRIN, ALOE BARBADENSIS LEAF EXTRACT, ASCOPHYLLUM NODOSUM EXTRACT, CHRYSANTHELLUM INDICUM EXTRACT, CERAMIDE NP, CERAMIDE AP, PHYTOSPHINGOSINE, CHOLESTEROL, XANTHAN GUM, POTASSIUM SORBATE, SODIUM HYALURONATE, CERAMIDE EOP (F.I.L. D215420/1).",https://www.promofarma.com/es/cerave-locion-hidratante-de-rostro-52ml/p-90435,https://statics.promofarma.com/static/promofarma/prod/product_images/z/ENMLN_es_ES_0.png
Avène Hyaluron Activ B3 Crema Multi-Intensiva Noche 40ml,"28,79€",AVENE THERMAL SPRING WATER (AVENE AQUA). CAPRYLIC/CAPRIC TRIGLYCERIDE. GLYCERIN. SQUALANE. BUTYROSPERMUM PARKII (SHEA) BUTTER (BUTYROSPERMUM PARKII BUTTER). CARTHAMUS TINCTORIUS (SAFFLOWER) SEED OIL (CARTHAMUS TINCTORIUS SEED OIL). PENTAERYTHRITYL TETRACAPRYLATE/TETRACAPRATE. CETEARYL ALCOHOL. BEHENYL ALCOHOL. NIACINAMIDE. C20-22 ALKYL PHOSPHATE. C20-22 ALCOHOLS. RETINAL. SODIUM HYALURONATE. TERMINALIA CHEBULA FRUIT EXTRACT. ADENOSINE. ACACIA SENEGAL GUM. CETEARYL GLUCOSIDE. FRAGRANCE (PARFUM). HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL (HELIANTHUS ANNUUS SEED OIL). RED 33 (CI 17200). SODIUM BENZOATE. SODIUM HYDROXIDE. TOCOPHEROL. TOCOPHERYL GLUCOSIDE. WATER (AQUA). XANTHAN GUM.,https://www.promofarma.com/es/avene-hyaluron-activ-b3-crema-multi-intensiva-noche-40ml/p-673087,https://statics.promofarma.com/static/promofarma/prod/product_images/z/W434ZLRM_es_ES_0.jpg
